"","Gene.name","124.K","124.P","124.PE","172.K","172.P","172.PE","Difference 124K - 124P","Difference 172K - 172P","Difference 124K - 124PE","Difference 172K - 172PE","Fold ch. 124K -> 124P","Fold ch. 172K -> 172P","Fold ch. 124K -> 124PE","Fold ch. 172K -> 172PE"
"1","hsa-let-7a-5p",30639.2976540569,28890.7874878285,32424.4041812679,35993.8093258061,28297.3381381663,29757.1315506851,1748.51017,7696.47119,1785.10653,6236.67778,-0.0570675668212283,-0.213827636802027,0.0582619924048639,-0.173270845513136
"2","hsa-let-7b-5p",5354.50669251038,5254.75908749171,6073.70956380679,6324.9416043165,4374.97186040767,4562.55232431267,99.74761,1949.96974,719.20287,1762.38928,-0.0186287198329938,-0.308298458056602,0.134317298043982,-0.278641193904633
"3","hsa-let-7c",177.206403823669,220.366967160202,182.360479493921,274.397328442355,204.441451950258,164.082362466829,43.16056,69.95588,5.15408,110.31497,0.243560968482153,-0.254943722991797,0.0290851547068255,-0.402026384884065
"4","hsa-let-7d-5p",818.765261994583,758.084494415962,746.884921546471,726.162421137416,528.06102132343,557.173227038136,60.68077,198.1014,71.88034,168.98919,-0.074112533097457,-0.272805909597596,-0.0877911457467138,-0.232715421757278
"5","hsa-let-7e-5p",1450.36202609452,1324.05338037167,1554.01490894392,1872.77996598753,1316.29976247383,1311.304382091,126.30865,556.4802,103.65288,561.47558,-0.0870876673894763,-0.297141262518933,0.0714669034244571,-0.299808623593675
"6","hsa-let-7f-5p",1735.27791652446,1443.65079886814,1086.2994104665,1458.75446334562,1354.52254625807,983.257329643005,291.62712,104.23192,648.97851,475.49713,-0.168057874118754,-0.0714526808360209,-0.373991105331292,-0.325961048038253
"7","hsa-let-7g-5p",5761.95634001333,5659.69522885769,6267.32745095704,5541.29011674227,4757.19969825,5072.53351791717,102.26111,784.09042,505.37111,468.7566,-0.0177476372817157,-0.141499615066758,0.0877082506568489,-0.0845934049561514
"8","hsa-let-7i-5p",1145.52194752263,1080.14998359542,1008.1524319179,1242.30681451138,694.542479583645,764.559294677674,65.37196,547.76433,137.36952,477.74752,-0.0570674041371142,-0.440925163195841,-0.119918711205675,-0.384564838776653
"9","hsa-miR-1",104.483117105538,53.683950830483,36.5638785042571,134.538847657152,88.074310207149,79.2426075233821,50.79917,46.46454,67.91924,55.29624,-0.486194972760459,-0.345361494164194,-0.650049888276935,-0.41100575110233
"10","hsa-miR-100-5p",2769.34328109187,2937.20596213895,3295.40952048205,2213.54626440862,2952.234908439,3343.68784495847,167.86268,738.68864,526.06624,1130.14158,0.0606146165385841,0.333712764855054,0.189960646259345,0.510557018265792
"11","hsa-miR-101-3p",9.60006651415975,4.84401837947027,4.67652841422642,5.392136966166,10.0266420041785,5.88916667597457,4.75605,4.63451,4.92354,0.49703,-0.495418248162602,0.859493196684828,-0.512864998661341,0.0921767590339918
"12","hsa-miR-103a-3p",8.00434357476651,3.59801144361102,3.76182784738338,8.18214814100688,9.2357200253084,7.03022805761467,4.40633,1.05357,4.24252,1.15192,-0.550492628158333,0.128764704102738,-0.530026689603573,-0.140784554806466
"13","hsa-miR-105-5p",5.09677581284861,3.59801144361102,7.63568192769541,5.392136966166,1.82860744205908,3.05719220963715,1.49876,3.56353,2.53891,2.33494,-0.294061270158148,-0.660875186677744,0.498139649079011,-0.43302771631728
"14","hsa-miR-106a-5p+hsa-miR-17-5p",6895.64264529051,6683.33612575263,6756.03766008931,5163.89421621077,6551.97174571854,5929.41504284599,212.30652,1388.07753,139.60499,765.52083,-0.0307885037637313,0.268804408337849,-0.020245391529467,0.148244869972754
"15","hsa-miR-106b-5p",2614.93082299172,2790.2988968992,2674.89918334991,2605.37200819574,2870.69296969931,2753.58021612961,175.36807,265.32096,59.96836,148.20821,0.0670641350683383,0.101836114255064,0.0229330580491521,0.0568856222710793
"16","hsa-miR-107",2375.84056528828,2338.27715769996,1884.09841535068,2679.7412003593,2450.24234807274,1914.60930613329,37.56341,229.49885,491.74215,765.13189,-0.0158105759019043,-0.0856421703169641,-0.206976072856948,-0.285524547715062
"17","hsa-miR-10a-5p",394.380054570966,398.350526969902,452.958972378614,836.051227468647,496.633399100839,464.79216054416,3.97047,339.41783,58.57892,371.25907,0.0100676298228486,-0.405977310021397,0.148534179476632,-0.444062582203924
"18","hsa-miR-10b-5p",177.206403823669,158.213978020307,142.703803812544,191.148232736877,159.423506604384,203.674248107105,18.99243,31.72473,34.5026,12.52602,-0.107176859264416,-0.165969235907943,-0.194702895982573,0.0655303749915948
"19","hsa-miR-1178",8.5012035711783,15.1351416765978,14.6645485457716,6.03834898072684,4.2982017682767,9.89398642650579,6.63394,1.74015,6.16334,3.85564,0.780352811207888,-0.288182617136627,0.724996751693952,0.638525109775096
"20","hsa-miR-1179",5.37236763792092,4.15814283046579,5.05200871526831,8.71862181378937,7.04525425339435,7.03022805761467,1.21422,1.67337,0.32036,1.68839,-0.22601297775761,-0.191930283952497,-0.0596308637538788,-0.193653743932825
"21","hsa-miR-1180",301.732579710881,389.875119359916,745.718548732312,299.927051125368,322.507384083778,471.390808150872,88.14254,22.58033,443.98597,171.46376,0.292121386870098,0.0752860833115415,1.47145518540576,0.571684869311214
"22","hsa-miR-1181",3.64836996653847,2.76607941972296,2.11440167207468,4.59689500626261,4.74697730355133,3.2923299321208,0.88229,0.15008,1.53397,1.30457,-0.2418314356569,0.0326486241439618,-0.420453053975556,-0.283792662735286
"23","hsa-miR-1182",4.60411778207703,4.84401837947027,5.46931689956986,4.3708662100536,6.39632198027389,1.9538875375999,0.2399,2.02546,0.8652,2.41698,0.0521056603562875,0.46339916915358,0.187918545624722,-0.552974755185669
"24","hsa-miR-1183",56.665065564888,42.383407350503,16.8500546134831,45.7398135156499,53.2491072037367,25.5107753329205,14.28166,7.50929,39.81501,20.22904,-0.252036383828601,0.164174121206628,-0.702637693162326,-0.442263241318375
"25","hsa-miR-1184",3.35180022794385,3.35783841418223,3.51556911356376,3.96780127860059,2.47954738981314,2.4863216168109,0.00604,1.48825,0.16377,1.48148,0.0018014755736457,-0.375082768588739,0.0488599780662866,-0.373375468620292
"26","hsa-miR-1185-5p",7.54092444505409,5.67948601969544,8.31801471482121,12.8175888052746,6.39632198027389,4.17426924859253,1.86144,6.42127,0.77709,8.64332,-0.246844858202965,-0.500973070875723,0.103049735536974,-0.674332722635418
"27","hsa-miR-1193",3.35180022794385,5.24161339278448,5.46931689956986,12.0274687794349,7.73855589424309,7.03022805761467,1.88981,4.28891,2.11752,4.99724,0.563820346178548,-0.356593142234981,0.631755035390341,-0.415485653171243
"28","hsa-miR-1197",7.10946664057484,3.35783841418223,3.76182784738338,11.2798108971823,2.47954738981314,3.84752385945522,3.75163,8.80026,3.34764,7.43229,-0.527694750683755,-0.780178283801502,-0.470870595845539,-0.658901740948838
"29","hsa-miR-1200",8.00434357476651,5.24161339278448,3.29337943890504,11.2798108971823,2.94475516437606,2.84626333795476,2.76273,8.33506,4.71096,8.43355,-0.345153872541337,-0.738935768407992,-0.588550965092586,-0.747667459685362
"30","hsa-miR-1202",10.8440853259673,7.87556566507865,7.01231773917053,16.3673908908734,13.3372995914947,14.2492219433057,2.96852,3.03009,3.83177,2.11817,-0.273745509340493,-0.185129769282184,-0.35335092556135,-0.129413964735748
"31","hsa-miR-1203",3.35180022794385,3.59801144361102,3.76182784738338,5.10577718230803,2.94475516437606,3.55468961337176,0.24621,2.16102,0.41003,1.55109,0.0734564111591505,-0.423250357540102,0.12233056613015,-0.303790689164996
"32","hsa-miR-1204",3.49495647022551,2.4574095547268,2.21942661055641,3.32128449611067,1.60005039815468,2.33263193367302,1.03755,1.72123,1.27553,0.98865,-0.296869767717527,-0.518243498854616,-0.364963017575668,-0.297671748263478
"33","hsa-miR-1205",7.10946664057484,2.60441520357767,5.93253336410931,6.79656443936582,5.79574569834145,3.84752385945522,4.50505,1.00082,1.17693,2.94904,-0.63366939670075,-0.147253623496544,-0.16554452478173,-0.43390165814212
"34","hsa-miR-1206",39.7295194826083,46.1502551771624,27.2335275355038,50.179764071982,68.5382207174299,38.7080579392926,6.42074,18.35846,12.49599,11.47171,0.161611209452577,0.365853785584026,-0.314526631830387,-0.228612197463372
"35","hsa-miR-1207-3p",3.35180022794385,4.15814283046579,4.33885817599145,4.59689500626261,2.28652948549245,2.84626333795476,0.80634,2.31037,0.98706,1.75063,0.240570006469806,-0.502592623417027,0.294485912322141,-0.380829160971235
"36","hsa-miR-1208",3.49495647022551,3.14069981400035,3.29337943890504,3.6210314377775,2.28652948549245,2.33263193367302,0.35426,1.3345,0.20158,1.2884,-0.101362251359401,-0.36854194038816,-0.0576765499192236,-0.355810085121843
"37","hsa-miR-122-5p",13.7619354458827,7.87556566507865,11.6391557230097,8.71862181378937,7.73855589424309,5.39286621441885,5.88637,0.98007,2.12278,3.32576,-0.427728338354118,-0.112410647058484,-0.154250085768868,-0.38145427917409
"38","hsa-miR-1224-3p",11.5209390636306,5.67948601969544,4.33885817599145,10.5753000760958,2.94475516437606,4.17426924859253,5.84145,7.63054,7.18208,6.40103,-0.507029245764827,-0.72154405613205,-0.623393704972505,-0.605281247949838
"39","hsa-miR-1224-5p",8.00434357476651,4.15814283046579,3.09256203842396,5.70231423278482,3.5403992969955,4.53845464167621,3.8462,2.16191,4.91178,1.16386,-0.480514199368673,-0.379129393353953,-0.613639518401836,-0.204103026174379
"40","hsa-miR-1225-3p",7.10946664057484,2.94417974434235,2.74569170875806,5.392136966166,7.73855589424309,3.2923299321208,4.16529,2.34642,4.36377,2.09981,-0.585878956441056,0.435155661438154,-0.613797792778439,-0.389420195966988
"41","hsa-miR-1225-5p",7.10946664057484,5.67948601969544,5.05200871526831,4.59689500626261,15.0287482532569,3.84752385945522,1.42998,10.43185,2.05746,0.74937,-0.201137538604975,2.26932597607349,-0.289396944851572,-0.163016807167985
"42","hsa-miR-1226-3p",26.7904669325829,10.7871389718469,16.8500546134831,21.4560892408074,26.0684609620308,18.9149358653418,16.00333,4.61237,9.94041,2.54115,-0.59735158782442,0.214967959419703,-0.371042891641806,-0.118435067404201
"43","hsa-miR-1227",3.64836996653847,2.76607941972296,2.59561804113581,4.16164919316091,1.96372500213066,3.55468961337176,0.88229,2.19792,1.05275,0.60696,-0.2418314356569,-0.528137786010947,-0.288554048810324,-0.145845925885969
"44","hsa-miR-1228-3p",5.99017985541157,4.15814283046579,5.05200871526831,9.91400823656394,4.74697730355133,3.84752385945522,1.83204,5.16703,0.93817,6.06648,-0.305840069775317,-0.521184853766415,-0.156618192239371,-0.611910362827303
"45","hsa-miR-1229",4.60411778207703,3.35783841418223,3.09256203842396,4.84130158006968,3.2242933074847,5.39286621441885,1.24628,1.61701,1.51156,0.55156,-0.270687985599833,-0.334002797768633,-0.328305185748564,0.113928997239052
"46","hsa-miR-1231",6.70834359167733,4.15814283046579,7.63568192769541,4.84130158006968,3.89709983671743,3.2923299321208,2.5502,0.9442,0.92734,1.54897,-0.380153569410998,-0.195030556914544,0.138236559196011,-0.319949423172804
"47","hsa-miR-1233",68.619578450021,30.1411531648396,37.7302508325676,51.2897519801236,54.0985023989419,45.3067055460032,38.47843,2.80875,30.88933,5.98305,-0.560749951461843,0.0547624098456694,-0.450153269885672,-0.116651888596363
"48","hsa-miR-1234",48.695390336094,42.383407350503,54.0594699365235,49.0697762035036,112.706770868099,97.1532224558877,6.31198,63.63699,5.36408,48.08345,-0.12962177614813,1.29686743221894,0.110155798390911,0.979899440604153
"49","hsa-miR-1236",3.81295096153907,3.14069981400035,5.46931689956986,3.32128449611067,2.28652948549245,2.33263193367302,0.67225,1.03476,1.65637,0.98865,-0.176307315336511,-0.311552657361917,0.434405255860466,-0.297671748263478
"50","hsa-miR-1237",4.84120628675676,3.59801144361102,3.76182784738338,7.22314731652605,2.94475516437606,3.55468961337176,1.24319,4.27839,1.07938,3.66846,-0.256794437069646,-0.592316889669594,-0.222956506176166,-0.507875243629757
"51","hsa-miR-1238",8.5012035711783,4.48386038868347,10.7235193549329,19.3580398858946,10.0266420041785,4.53845464167621,4.01734,9.3314,2.22232,14.81959,-0.472561696571396,-0.482042496901534,0.261411900697093,-0.765551953171498
"52","hsa-miR-124-3p",3.64836996653847,3.59801144361102,3.51556911356376,3.6210314377775,2.94475516437606,4.17426924859253,0.05036,0.67628,0.1328,0.55324,-0.0138030198114011,-0.186763436060229,-0.0364000510344946,0.1527845919931
"53","hsa-miR-1243",5.99017985541157,5.24161339278448,7.01231773917053,4.3708662100536,3.5403992969955,2.19377536668259,0.74857,0.83047,1.02214,2.17709,-0.124965607159663,-0.190000533795317,0.170635591656828,-0.49809139395834
"54","hsa-miR-1244",29.7705253787348,20.726511424645,8.31801471482121,6.79656443936582,14.1818968156531,11.5645472859499,9.04401,7.38533,21.45251,4.76798,-0.303790875002492,1.08662728679673,-0.720595635817606,0.70152838086369
"55","hsa-miR-1245a",3.21806780305525,4.48386038868347,3.51556911356376,3.78799883776217,2.69777930032549,2.4863216168109,1.26579,1.09022,0.2975,1.30168,0.393339315109044,-0.287808836309135,0.0924471853035711,-0.343631895547323
"56","hsa-miR-1245b-3p",7.10946664057484,4.84401837947027,5.46931689956986,6.79656443936582,5.79574569834145,5.39286621441885,2.26545,1.00082,1.64015,1.4037,-0.318652351243242,-0.147253623496544,-0.230699407413263,-0.20653055488104
"57","hsa-miR-1245b-5p",10.8440853259673,9.99885074781522,7.63568192769541,16.3673908908734,7.04525425339435,9.11135368664886,0.84523,9.32214,3.2084,7.25604,-0.0779442943083564,-0.569555447146873,-0.295866668495227,-0.44332277835868
"58","hsa-miR-1246",2650.79436164724,3825.24033727412,4026.72527495922,856.031010437962,5279.57774330119,5013.14568945676,1174.44598,4423.54673,1375.93091,4157.11468,0.44305435103501,5.16750757732486,0.519063618521111,4.85626645335189
"59","hsa-miR-1247-5p",3.35180022794385,3.8638432282976,3.76182784738338,3.46579500949088,1.82860744205908,2.19377536668259,0.51204,1.63719,0.41003,1.27202,0.152766562900994,-0.472384420587038,0.12233056613015,-0.367021026726894
"60","hsa-miR-1248",6.33583612575212,6.16016017639962,4.67652841422642,9.91400823656394,2.47954738981314,4.17426924859253,0.17568,7.43446,1.65931,5.73974,-0.0277273505604834,-0.749894560237674,-0.261892460378104,-0.578952412688405
"61","hsa-miR-1249",5.37236763792092,3.8638432282976,5.05200871526831,6.79656443936582,2.94475516437606,3.05719220963715,1.50852,3.85181,0.32036,3.73937,-0.280793220288088,-0.56672886858543,-0.0596308637538788,-0.550185650866511
"62","hsa-miR-1250",8.00434357476651,8.53985876875391,2.74569170875806,3.46579500949088,5.24579555969271,4.17426924859253,0.53552,1.78,5.25865,0.70847,0.0669030744351864,0.513590834232089,-0.656974780866006,0.204418967989026
"63","hsa-miR-1251",21.8755116930535,2.94417974434235,6.44564124062324,9.29544371297555,5.24579555969271,5.39286621441885,18.93133,4.04965,15.42987,3.90258,-0.865412074210942,-0.435659477732076,-0.705349007096824,-0.419837677367576
"64","hsa-miR-1252",12.2336790891059,9.99885074781522,16.8500546134831,8.18214814100688,14.1818968156531,5.39286621441885,2.23483,5.99975,4.61638,2.78928,-0.182678352522815,0.733273044101579,0.377349731896119,-0.340898487599954
