Gene name,124 pl,124 K,124 E,124 P,172 P,172 PE,172 D,172 DE,124 0,124 PE,124 D,124 DE,172 0,172 pl,172 E,172 K
hsa-let-7a-5p,30775.5654616,31751.8093385,28861.3675591,31662.6575938,34397.8992024,32600.1793881,39798.7203781,41887.3005108,24425.9984424,28704.3200456,34454.6182345,34884.3845883,37394.8146276,37008.8986784,37759.7291142,33497.2930864
hsa-let-7b-5p,5007.64930842,5437.51466231,4856.99954215,5640.73244982,5198.26974492,4890.39041952,6805.54440071,7183.45173816,4363.43525415,5281.58077902,5868.75744047,6025.85291847,6359.06303654,6495.67986839,6498.9981313,5785.43057508
hsa-let-7c,76.7645725881,49.4137430232,33.9390309869,98.1525932664,107.72221487,52.8151088855,184.722297467,171.766820492,58.7604385124,44.848482827,58.6905650322,69.6012768874,150.875946939,145.455098209,103.155419912,133.989722465
hsa-let-7d-5p,695.717093045,717.094518859,646.670923097,690.149057556,502.73211486,485.148778953,786.049704275,858.109481367,464.138052413,546.645836095,703.562370265,721.730481858,546.922618319,573.641682713,568.665774493,555.955678622
hsa-let-7e-5p,1330.22118437,1374.40758078,1183.71850366,1313.24866358,1464.85596575,1314.56589179,1761.65158325,1715.51942177,1105.89954347,1264.0916387,1360.87543219,1384.22740074,1788.9747448,1803.2525525,1730.88650386,1626.94052558
hsa-let-7f-5p,1463.96469381,1670.92419862,916.23148477,1444.91863024,1511.51067835,953.769447708,1925.46146304,1134.92744278,723.330900175,848.34631089,1322.51489072,1002.69552883,1321.39084743,1530.58167665,936.719618316,1240.22479672
hsa-let-7g-5p,5646.30048531,5861.55416125,5044.65516393,6086.54414797,5664.8168709,5451.28374208,7463.89423403,7662.44012083,4530.35544811,5453.68482993,6114.47226015,6206.25114051,5649.91140507,5770.97666604,5629.14693421,5053.469973
hsa-let-7i-5p,1031.63102374,1057.15553512,890.312199994,1044.72487329,705.939307505,713.238484984,1183.13314705,1109.008158,704.669015136,778.88262769,887.070906481,919.753817548,1066.34508524,1038.1152659,1044.54384299,1038.05437546
hsa-miR-1,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,35.794322532,24.1528454563,1e-05,3.35652719305
hsa-miR-100-5p,2814.87781635,2747.09290253,2470.35179995,3089.23805644,3461.67766492,3549.8450109,3536.60420473,3851.26848733,2132.30322061,2811.99132554,3334.88816075,3187.17284977,2158.06536001,2260.46873595,2227.50000017,1945.22934263
hsa-miR-101-3p,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-103a-3p,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-105-5p,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-106a-5p+hsa-miR-17-5p,6525.48262492,7041.40000426,5594.14400119,7213.51465004,7855.51482018,6393.70893654,7762.48439465,6302.19605577,4611.22361661,5888.09204278,7081.779968,6553.56955651,5099.38579642,5917.16143218,5055.81235496,4700.96770004
hsa-miR-106b-5p,2305.82306334,2586.39333692,2080.52575692,2927.50171944,3362.14761137,2900.8261201,4436.52177216,3806.68731751,1768.39646235,2260.4289455,2885.96614842,2743.4346944,2229.60258599,2609.86069473,2228.53677156,2311.20964367
hsa-miR-107,2285.08763552,2337.56820307,1731.13379814,2429.85145174,2848.9457728,1978.09958206,3254.60238636,2185.17686191,1344.35696341,1557.49794237,2229.68985789,1877.73058288,2118.66804715,2625.4122656,1912.32149729,2380.67332687
hsa-miR-10a-5p,290.339479144,275.429906272,294.16865014,294.102386175,464.371573391,383.54518263,380.672090375,453.768638858,204.94520465,285.379445551,301.295070538,281.102640662,649.562986033,708.421963549,658.864885515,658.596046336
hsa-miR-10b-5p,20.7789174715,49.4137430232,16.3139173391,29.7256814571,52.773331144,96.3595073096,154.655927126,190.428705531,33.8779251272,9.59825553131,65.9479647696,64.4174199321,90.7432062577,136.12415569,62.7213356612,56.2318681366
hsa-miR-1178,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1179,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1180,191.846196995,179.010166904,214.33725303,284.771443655,251.833438226,390.802582368,317.429035521,763.763284782,315.879743493,545.609064704,389.420638777,539.258717033,284.619456384,195.220124979,397.59849497,157.835464459
hsa-miR-1181,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1182,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1183,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1184,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1185-5p,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1193,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1197,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1200,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
hsa-miR-1202,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
